DESIGNATION_NAME	DESIGNATION_DESCRIPTION	DESIGNATION_LEVEL	LAST_MODIFIED_ON
Manager MIS	Manager MIS	0	NULL
Cluster Credit Manager	Cluster Credit Manager	0	NULL
Credit Admin Executive - CV	Credit Admin Executive - CV	NULL	2014-09-29 15:02:01.977
Segment Head - Secured Business	Segment Head - Secured Business	0	NULL
Manager, Balance Sheet Operations	Manager, Balance Sheet Operations	0	NULL
Vice President - Credit Re-Engineering	Vice President - Credit Re-Engineering	0	NULL
Executive, Finance	Executive, Finance	0	NULL
Manager, Analytics	Manager, Analytics	0	NULL
Management Trainee - Premises Infra & Procurement	Management Trainee - Premises Infra & Procurement	0	NULL
Credit Administration Manager	Credit Administration Manager	0	NULL
Sales Manager - Self Employed PL	Sales Manager - Self Employed PL	0	NULL
Manager - Fraud Risk Management	Manager - Fraud Risk Management	0	NULL
AVP, Technology	AVP, Technology	0	NULL
Product Manager - Two Wheeler	Product Manager - Two Wheeler	0	NULL
Agency Manager - Recovery & City Exit	CEO & President	0	NULL
General Manager – Business HC & Employee Relations	General Manager – Business HC & Employee Relations	0	NULL
Senior Manager Training	Senior Manager Training	0	NULL
Assistant Manager - FCU	Vice President Human Capital	0	NULL
Cluster In Charge	Cluster In Charge	0	NULL
State Insurance Manager	State Insurance Manager	0	NULL
National Sales Manager - Mortgages	National Sales Manager - Mortgages	0	NULL
Recovery Manager	Recovery Manager	0	NULL
ABF Relationship Officer	ABF relationship Officer	0	NULL
Manager, Marketing	Manager, Marketing	0	NULL
Risk Control and Review - Executive	Risk Control and Review - Executive	0	NULL
Senior Vice President Human Capital	Senior Vice President Human Capital	0	NULL
VP, Zonal Sales Manager CV &  Mortgage East	VP, Zonal Sales Manager CV &  Mortgage East	0	NULL
Location Manager - DST	Location Manager - DST	0	NULL
Assistant Manager, HC	Assistant Manager, HC	0	NULL
VP - Operations, South & North	VP - Operations, South & North	0	NULL
Regional Business Manager, SME North & West	Regional Business Manager, SME North & West	0	NULL
GM, Treasury	GM, Treasury	0	NULL
SVP & National Credit Manager - MSME	SVP & National Credit Manager - MSME	0	NULL
Business Capability Building Manager	Business Capability Building Manager	0	NULL
Assistant Manager, Department Support	Assistant Manager, Department Support	0	NULL
Senior Manager, Fraud Risk Management	Senior Manager, Fraud Risk Management	0	NULL
VP - Rural Risk	VP - Rural Risk	0	NULL
Regional Risk Manager - MSME, West	Regional Risk Manager - MSME, West	0	NULL
Branch Incharge - ABF	Branch Incharge - ABF	0	NULL
Assistant Manager - Payment Processing	Assistant Manager - Payment Processing	0	NULL
Management Trainee - Premises Infrastructure Pro	Management Trainee - Premises Infrastructure Pro	0	NULL
Manager, Customer Fulfillment	Manager, Customer Fulfillment	0	NULL
Assistant Unit Mgr Incharge	Assistant Unit Mgr Incharge	0	NULL
SVP, Rural Risk	SVP, Rural Risk	0	NULL
Risk Control and Review - Officer	Risk Control and Review - Officer	0	NULL
Credit Admin Manager - Mortgage	Credit Admin Manager - Mortgage	0	NULL
Sr. Vice President - BP & A	Sr. Vice President - BP & A	0	NULL
Individual RO	Individual RO	0	NULL
EVP, Chief Operating Officer	EVP, Chief Operating Officer	0	NULL
VP - Rural	VP Rural	0	NULL
Management Trainee - Technology	Management Trainee - Technology	0	NULL
Credit Approver	Credit Approver	0	NULL
Senior Manager, Treasury	Senior Manager, Treasury	0	NULL
AVP - Premises Procurement and Infrastructure	AVP - Premises Procurement & Infrastructure	0	NULL
VP - Quality, Process and Control	VP - Quality, Process and Control	0	NULL
Credit Manager - Mortgage	Credit Manager - Mortgage	0	NULL
Relationship Manager - CV	Relationship Manager - CV	0	NULL
Agency Officer - Flows & Recovery	Credit Manager	0	NULL
Unit Manager	Unit Manager	0	NULL
AVP - Legal and Compliance	AVP - Legal and Compliance	0	NULL
GM - National Collections Manager	GM - National Collections Manager	0	NULL
Credit Approver, SME	Credit Approver, SME	0	NULL
VP - Risk Control and Review	VP - Risk Control and Review	0	NULL
AVP - Training	AVP - Training	0	NULL
Unit Incharge	Unit Incharge for Microfinance	0	NULL
Segment Risk Manager - Secured	Segment Risk Manager - Secured	0	NULL
Assistant Manager Training	Assistant Manager Training	0	NULL
Senior Manager Payroll	Senior Manager Payroll	0	NULL
