CALENDAR_CODE	CALENDAR_NAME	HOLIDAY_DATE	HOLIDAY_DESCRIPTION	HOLIDAY_REASON
00b9665ce4cc4f9b	Mumbai	2015-08-15 00:00:00.000	Independance Day	Independance Day
02AD7180593F40B0	Himachal Pradesh	2014-08-18 00:00:00.000	Parsi New Year/Janmashtami	Parsi New Year/Janmashtami
02AD7180593F40B0	Himachal Pradesh	2014-05-14 00:00:00.000	Budhdha Pournima	Budhdha Pournima
02AD7180593F40B0	Himachal Pradesh	2014-08-15 00:00:00.000	Independence Day	Independence Day
02AD7180593F40B0	Himachal Pradesh	2014-03-17 00:00:00.000	Holi	Holi
02AD7180593F40B0	Himachal Pradesh	2014-10-23 00:00:00.000	Diwali Amavasya (Laxmi Pujan)	Diwali Amavasya (Laxmi Pujan)
02AD7180593F40B0	Himachal Pradesh	2014-10-03 00:00:00.000	Dasara	Dasara
02AD7180593F40B0	Himachal Pradesh	2014-04-08 00:00:00.000	Ram Navmi	Ram Navmi
02AD7180593F40B0	Himachal Pradesh	2014-10-24 00:00:00.000	Diwali (Balipratipada)	Diwali (Balipratipada)
02AD7180593F40B0	Himachal Pradesh	2014-12-25 00:00:00.000	Christmas	Christmas
02AD7180593F40B0	Himachal Pradesh	2014-11-06 00:00:00.000	Guru Nanak Jayanti	Guru Nanak Jayanti
02AD7180593F40B0	Himachal Pradesh	2014-10-06 00:00:00.000	Bakri Id (Id Ul Zua)	Bakri Id (Id Ul Zua)
02AD7180593F40B0	Himachal Pradesh	2014-07-29 00:00:00.000	Ramzan Id (Id Ul Fitar)	Ramzan Id (Id Ul Fitar)
02AD7180593F40B0	Himachal Pradesh	2014-11-04 00:00:00.000	Moharum	Moharum
02AD7180593F40B0	Himachal Pradesh	2014-01-07 00:00:00.000	Guru Gobind Singhs Birthday	Guru Gobind Singhs Birthday
02AD7180593F40B0	Himachal Pradesh	2014-02-14 00:00:00.000	Guru Ravidas Birthday	Guru Ravidas Birthday
02AD7180593F40B0	Himachal Pradesh	2014-10-02 00:00:00.000	Mahatma Gandhi Jayanti	Mahatma Gandhi Jayanti
1B503993E26A4B99	Jharkhand	2014-07-29 00:00:00.000	Ramzan Id (Id Ul Fitar)	Ramzan Id (Id Ul Fitar)
1B503993E26A4B99	Jharkhand	2014-10-06 00:00:00.000	Bakri Id (Id Ul Zua)	Bakri Id (Id Ul Zua)
1B503993E26A4B99	Jharkhand	2014-08-15 00:00:00.000	Independence Day	Independence Day
1B503993E26A4B99	Jharkhand	2014-11-04 00:00:00.000	Moharum	Moharum
1B503993E26A4B99	Jharkhand	2014-02-27 00:00:00.000	Mahashivratri	Mahashivratri
1B503993E26A4B99	Jharkhand	2014-10-02 00:00:00.000	Mahatma Gandhi Jayanti	Mahatma Gandhi Jayanti
1B503993E26A4B99	Jharkhand	2014-05-14 00:00:00.000	Budhdha Pournima	Budhdha Pournima
1B503993E26A4B99	Jharkhand	2014-08-18 00:00:00.000	Parsi New Year/Janmashtami	Parsi New Year/Janmashtami
1B503993E26A4B99	Jharkhand	2014-04-18 00:00:00.000	Good Friday	Good Friday
1B503993E26A4B99	Jharkhand	2014-05-01 00:00:00.000	Maharashtra Din	Maharashtra Din
1B503993E26A4B99	Jharkhand	2014-04-08 00:00:00.000	Ram Navmi	Ram Navmi
1B503993E26A4B99	Jharkhand	2014-03-17 00:00:00.000	Holi	Holi
1B503993E26A4B99	Jharkhand	2014-12-25 00:00:00.000	Christmas	Christmas
1B503993E26A4B99	Jharkhand	2014-10-23 00:00:00.000	Diwali Amavasya (Laxmi Pujan)	Diwali Amavasya (Laxmi Pujan)
1B503993E26A4B99	Jharkhand	2014-10-03 00:00:00.000	Dasara	Dasara
1B503993E26A4B99	Jharkhand	2014-10-28 00:00:00.000	Chhath Puja	Chhath Puja
2B8E3CEC22014073	Jammu and Kashmir	2014-10-02 00:00:00.000	Mahatma Gandhi Jayanti	Mahatma Gandhi Jayanti
2B8E3CEC22014073	Jammu and Kashmir	2014-03-17 00:00:00.000	Holi	Holi
2B8E3CEC22014073	Jammu and Kashmir	2014-04-08 00:00:00.000	Ram Navmi	Ram Navmi
2B8E3CEC22014073	Jammu and Kashmir	2014-11-04 00:00:00.000	Moharum	Moharum
2B8E3CEC22014073	Jammu and Kashmir	2014-08-18 00:00:00.000	Parsi New Year/Janmashtami	Parsi New Year/Janmashtami
2B8E3CEC22014073	Jammu and Kashmir	2014-07-29 00:00:00.000	Ramzan Id (Id Ul Fitar)	Ramzan Id (Id Ul Fitar)
2B8E3CEC22014073	Jammu and Kashmir	2014-12-25 00:00:00.000	Christmas	Christmas
2B8E3CEC22014073	Jammu and Kashmir	2014-02-14 00:00:00.000	Guru Ravidas Birthday	Guru Ravidas Birthday
2B8E3CEC22014073	Jammu and Kashmir	2014-05-14 00:00:00.000	Budhdha Pournima	Budhdha Pournima
2B8E3CEC22014073	Jammu and Kashmir	2014-10-24 00:00:00.000	Diwali (Balipratipada)	Diwali (Balipratipada)
