BSCC_CODE	BSCC_NAME
4501301	0004_Retail_TN_COI_100FeetRd
4501304	0265_Retail_TN_COI_RRLayout_MettupalayamRd
3506601	8163_Rural_MH_Yavatmal
3401208	1737_Retail_MP_Indore_Mort
4200322	1213_Retail_KRN_Bangalore
3500801	8107_Rural_MH_Ashta
1602701	0271_Retail_PUN_PAT_ChottiBaradari
1801908	4014_ABF_UP_KAN_North
4501024	1710_Retail_TN_CHN_Madipakkam
3304801	0101_Retail_GUJ_SUR_CityShoppingCentre
3503545	1654_Retail_MH_MUM_Kandivali_Credit Hub
4505101	1134_Retail_TN_Panroti
3302101	8063_Rural_GUJ_Halol
8241_Rural	8241_Rural_Dhule Branch
1301202	0924_Retail_HYN_Sonipat
3504001	0099_Retail_MH_NAS_SuyojitModernPt
1702306	4022_ABF_RAJ_Jodhpur_North
1900101	0254_Retail_UTC_DEH_RajpurRd
4108503	0333_Retail_AP_VIJ_GodavalliVariSt
1801803	4027_ABF_UP_JHA_North
3503513	1014_Retail_MH_BOM_SantaCruz_MainBrnch
1300402	0115_Retail_HYN_GUR_JudicialCmplx
3304002	8201_GUJ_Rural_Padra
3300401	1193_Retail_GUJ_Ankleshwar
1601201	1788_Retail_PUN_Gurdaspur
1200102	0068_Retail_DEL_LaxmanHouse
4200316	1734 Retail_KRN_Bangalore_Mort
3304811	1743_Retail_GUJ_Surat_Mort
3300801	0534_Retail_GUJ_BHA_SOPANCmplx
4301701	0336_Retail_KER_TRI_MGRd
3504621	1732_Retail_MH_Pune_Mort
3402404	8183_MP_Rural_Garhakota
3402202	1002_Retail_MP_Ratlam
1701301	8130_Rural_RAJ_Chittaurgarh
1800201	0188_Retail_UP_ALI_SamadRd
5100502	1435_Retail_JHK_Jamshedpur
1602601	0560_Retail_PUN_PAT_RailwayRd
1703903	0508_Retail_RAJ_UDP_MainRd
1600503	4518_ABF_PUN_Bhatinda
5100101	1861_Retail_JHK_Bokaro
3401304	8176_MP_Rural_Itarsi
1703202	1026_Retail_RAJ_PAL_Pali
1700103	8072_Rural_RAJ_Ajmer
1602011	1772_Retail_Ludhiana
3302401	1092_Retail_GUJ_Jetpur
3302301	0328_Retail_GUJ_JAM_SohamComplex
1301102	0760_Retail_HYN_SIR_DubwaliRd
3503539	1252_Central_MH_BOM_Head Office
3503540	0142_Central_MH_Mumbai_HeadOffc
4509001	8174_Rural_TN_Vadamadurai
3502301	8054_Rural_MH_Gadhinglaj
1703002	8170_Rural_RAJ_Didwana
5301543	1867_Retail_WB_Kolkata_Credit Hub
3401211	4001_ABF_MP_Indore ( W )
1704001	8167_Rural_RAJ_Bari Sadri
8227_Rural	8227_Rural_Navsari Branch
1702017	1659_Retail_Jaipur_CreditHub
1704201	8169_Rural_RAJ_Merta Road
3503002	0126_Retail_MH_KOL_AnantTowers
3505701	8108_Rural_MH_Tasgaon
1600102	1271_Retail_PUN_Malout
5200502	1366_Retail_ORS_Bhubaneshwar
3401002	8150_Rural_MP_Harda
1200110	1770_Retail_HYN_Faridabad
4201001	8129_Rural_KRN_Channagiri
3504801	8135_Rural_MH_Ahm_Rahuri
3500702	1158_Retail_MH_Amravati
1701003	4025_ABF_RAJ_BHI_North
3503504	0179_Retail_MH_BOM_KandivaliHub
3503516	1729_Retail_MH_BOM_Mort
3401902	8181_MP_Rural_Gadarwara
1400101	0543_Retail_HP_BAD_POBaddi
4102826	0081_Retail_AP_HYD_State Office
5300401	1413_Retail_WB_Cooch Behar
1602003	0067_Retail_PUN_LDN_ChandigarhRd
3504626	1182_Retail_MH_Pune
3504606	0182_Retail_MH_Pune_BharatPatilPlaza
4200701	0682_Retail_KRN_BID_GanpatRaoHalwaiEstate
4507601	0184_Retail_TN_TIR_KumaranRd
4506404	4010_ABF_TN_Namakkal ( S )
1602006	0377_Retail_PUN_LUD_JagdambayCmplx
4203802	0334_Retail_KRN_MAN_BridgeSquareBldg
1704101	8168_Rural_MH_Wardha
4201502	8194_KRN_Rural_Hiriyur
1802411	4516_ABF_UP_LUC_North
3503302	8132_Rural_MH_Malkapur
1602010	4000_ABF_Ludhiana_Punjab_North
3300123	1658_Retail_Ahmedabad_Credit Hub
1800501	0171_Retail_UP_BAR_CircuitHouseChouraha
3503523	9983_ABF_MH_BOM_Central
1803001	0117_Retail_DEL_Sec51
4300301	0535_Retail_KER_COC_ManoramaJunction
8252_Ambas	8252_Ambasamudram Branch
3303501	8144_Rural_GUJ_Modasa
1602301	0123_Retail_PUN_MOH_Mohali
4501901	8017_Rural_TN_Elampillai
1700106	4521_ABF_RAJ_Ajmer
3503541	0902_Central_MH_BOM_Guest House
4205403	8195_KRN_Rural_Sira
3402701	1315_Retail_MP_Seoni
3100302	0716_Retail_CG_BIL_BusStand
4501032	0906_Central_TN_CHN_Nungambakkam_GuestHouse
4502601	1346_Retail_TN_Karaikkudi
3403102	1185_Retail_MP_Vidisha
1700107	8192_RAJ_Rural_Roopangarh
3305001	8034_Rural_GUJ_Thassra
3401502	0748_Retail_MP_Katni_KamaniaGate
3503506	0259_Retail_MH_BOM_RBMehtaMarg
4103801	0204_Retail_AP_KUR_NehruRd
3400902	0675_Retail_MP_GWA_GangaArcade
4206001	8159_Rural_KA_Chanrayapatna
4102101	8041_Rural_AP_Ganapavaram
