MASTER3_ID	MASTER3_NAME	MODIFIED_ON
248cac8dff3546c9	713_MSD	2014-11-25 15:01:01.383
7221f7eb96f24a74	500 All Hybrid branch roles, support functions and Leadership.	2015-01-03 16:37:03.647
78c2aa859f034636	719_PLSAL Retail	2014-11-25 15:01:46.960
809e5448eeee4a4b	500-Default_999	2014-12-02 11:49:28.640
8538ab0301d244c5	716_PL	2014-11-25 15:00:49.493
942a4a7006084115	606_ABF	2014-11-25 15:00:06.137
9ec54b4da87f4b4e	651_ABF New	2014-11-25 15:00:20.747
a82a5bc718a24184	707_Rural SG	2014-12-30 15:37:01.983
a94b1db0581e46d6	720_PL Self Retail	2014-11-25 15:01:16.743
b34b8766d1ce4129	645_SME LAP	2014-11-25 15:00:35.713
bf62c245238c432f	682_Mortgage	2014-11-25 14:59:34.607
c07179ebca884ecf	632_Rural Portfolio	2015-01-06 19:48:42.320
cda1ff3e413a405c	707_ Rural SG	2014-11-25 14:58:54.950
d4e946f6bae14ee6	602_Rural TW	2014-11-25 14:59:50.840
ec3d67d1a22a4a78	629_Mortgage	2014-12-30 15:36:07.843
